model	date.run	location	aoa	yaw	v	L	D	Mp	Cl	Cd	Cm	Re	svl	A	s	AR	rho
HalfWing	20090416A	Haas	60	0	7.0	1.36E-01	2.77E-01	2.51E-03	5.72E-01	1.17E+00	7.39E-02	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090416A	Haas	90	0	7.0	-5.67E-03	2.69E-01	4.74E-05	-2.39E-02	1.13E+00	1.40E-03	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
Draco	20090331A	Haas	0	0	7.0	2.66E-02	5.42E-02	6.34E-04	7.03E-02	1.43E-01	1.15E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090331B	Haas	-5	0	12.0	2.08E-02	6.00E-03	-1.70E-04	1.87E-02	5.40E-03	-1.05E-03	1.17E+05	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090331B	Haas	50	0	12.0	4.70E-02	6.95E-02	2.92E-04	4.23E-02	6.25E-02	1.80E-03	1.17E+05	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090331B	Haas	60	0	12.0	3.63E-02	8.01E-02	9.27E-05	3.26E-02	7.20E-02	5.71E-04	1.17E+05	0.146	1.28E-02	0.137	1.46	1.204
DoubleWing	20090513A	Haas	-15	0	7.0	-3.15E-01	1.45E-01	-4.90E-03	-4.86E-01	2.24E-01	-5.29E-02	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090513A	Haas	0	0	7.0	2.76E-02	7.63E-02	-2.43E-03	4.27E-02	1.18E-01	-2.63E-02	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090513A	Haas	15	0	7.0	5.24E-01	2.14E-01	1.13E-03	8.08E-01	3.30E-01	1.22E-02	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090513A	Haas	30	0	7.0	5.83E-01	4.10E-01	1.22E-03	9.01E-01	6.33E-01	1.32E-02	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090513A	Haas	45	0	7.0	5.66E-01	6.48E-01	9.63E-04	8.74E-01	1.00E+00	1.04E-02	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090513A	Haas	60	0	7.0	4.40E-01	8.71E-01	-9.56E-04	6.79E-01	1.34E+00	-1.03E-02	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090513A	Haas	75	0	7.0	2.14E-01	1.01E+00	-3.19E-03	3.30E-01	1.56E+00	-3.44E-02	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090513A	Haas	90	0	7.0	-4.85E-02	9.78E-01	-5.31E-03	-7.49E-02	1.51E+00	-5.74E-02	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090513B	Haas	-15	0	7.0	-3.37E-01	1.50E-01	-5.03E-03	-5.20E-01	2.31E-01	-5.43E-02	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090513B	Haas	0	0	7.0	2.86E-02	7.82E-02	-2.42E-03	4.42E-02	1.21E-01	-2.62E-02	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090513B	Haas	15	0	7.0	5.22E-01	2.15E-01	1.14E-03	8.06E-01	3.31E-01	1.23E-02	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090513B	Haas	30	0	7.0	5.78E-01	4.08E-01	1.16E-03	8.93E-01	6.30E-01	1.25E-02	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090513B	Haas	45	0	7.0	5.70E-01	6.51E-01	9.24E-04	8.79E-01	1.01E+00	9.98E-03	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090513B	Haas	60	0	7.0	4.39E-01	8.71E-01	-9.38E-04	6.78E-01	1.34E+00	-1.01E-02	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090513B	Haas	75	0	7.0	2.13E-01	1.01E+00	-3.00E-03	3.29E-01	1.56E+00	-3.24E-02	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090513B	Haas	90	0	7.0	-4.98E-02	1.01E+00	-5.59E-03	-7.69E-02	1.57E+00	-6.04E-02	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
HalfWing	20090513D	Haas	-15	0	7.0	-9.44E-02	5.62E-02	-2.39E-03	-3.97E-01	2.37E-01	-7.05E-02	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090513D	Haas	0	0	7.0	-1.47E-02	3.10E-02	-1.11E-04	-6.20E-02	1.31E-01	-3.27E-03	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090513D	Haas	15	0	7.0	5.69E-02	4.97E-02	1.65E-03	2.39E-01	2.09E-01	4.87E-02	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090513D	Haas	30	0	7.0	1.46E-01	1.21E-01	3.35E-03	6.13E-01	5.10E-01	9.86E-02	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090513D	Haas	45	0	7.0	1.51E-01	1.88E-01	3.60E-03	6.35E-01	7.89E-01	1.06E-01	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090513D	Haas	60	0	7.0	1.22E-01	2.46E-01	3.17E-03	5.13E-01	1.04E+00	9.34E-02	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090513D	Haas	75	0	7.0	6.27E-02	2.77E-01	1.97E-03	2.64E-01	1.16E+00	5.79E-02	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090513D	Haas	90	0	7.0	-4.57E-03	2.70E-01	9.70E-04	-1.92E-02	1.14E+00	2.86E-02	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090513E	Haas	-15	0	7.0	-8.86E-02	5.13E-02	-2.39E-03	-3.73E-01	2.16E-01	-7.04E-02	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090513E	Haas	0	0	7.0	-1.36E-02	3.13E-02	-8.52E-05	-5.74E-02	1.32E-01	-2.51E-03	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090513E	Haas	15	0	7.0	5.81E-02	5.19E-02	1.69E-03	2.45E-01	2.18E-01	4.97E-02	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090513E	Haas	30	0	7.0	1.44E-01	1.19E-01	3.33E-03	6.06E-01	4.99E-01	9.82E-02	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090513E	Haas	45	0	7.0	1.59E-01	1.96E-01	3.77E-03	6.68E-01	8.25E-01	1.11E-01	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090513E	Haas	60	0	7.0	1.25E-01	2.48E-01	3.19E-03	5.25E-01	1.05E+00	9.38E-02	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090513E	Haas	75	0	7.0	6.24E-02	2.73E-01	1.95E-03	2.63E-01	1.15E+00	5.73E-02	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090513E	Haas	90	0	7.0	-3.45E-03	2.66E-01	9.58E-04	-1.45E-02	1.12E+00	2.82E-02	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090513F	Haas	-15	0	7.0	-8.21E-02	4.99E-02	-2.32E-03	-3.45E-01	2.10E-01	-6.84E-02	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090513F	Haas	0	0	7.0	-8.05E-03	2.73E-02	-6.63E-05	-3.39E-02	1.15E-01	-1.95E-03	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090513F	Haas	15	0	7.0	6.24E-02	4.82E-02	1.61E-03	2.62E-01	2.03E-01	4.75E-02	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090513F	Haas	30	0	7.0	1.41E-01	1.17E-01	3.26E-03	5.93E-01	4.94E-01	9.61E-02	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090513F	Haas	45	0	7.0	1.60E-01	1.99E-01	3.77E-03	6.75E-01	8.36E-01	1.11E-01	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090513F	Haas	60	0	7.0	1.26E-01	2.49E-01	3.10E-03	5.29E-01	1.05E+00	9.13E-02	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090513F	Haas	75	0	7.0	6.29E-02	2.74E-01	1.95E-03	2.65E-01	1.15E+00	5.75E-02	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090513F	Haas	90	0	7.0	-3.79E-03	2.70E-01	1.02E-03	-1.60E-02	1.14E+00	2.99E-02	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090513G	Haas	-15	0	7.0	-8.99E-02	5.21E-02	-2.52E-03	-3.78E-01	2.19E-01	-7.41E-02	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090513G	Haas	0	0	7.0	-1.22E-02	3.06E-02	-1.25E-04	-5.13E-02	1.29E-01	-3.67E-03	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090513G	Haas	15	0	7.0	5.93E-02	4.79E-02	1.70E-03	2.50E-01	2.02E-01	5.01E-02	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090513G	Haas	30	0	7.0	1.47E-01	1.21E-01	3.34E-03	6.20E-01	5.09E-01	9.85E-02	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090513G	Haas	45	0	7.0	1.64E-01	1.97E-01	3.75E-03	6.89E-01	8.31E-01	1.11E-01	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090513G	Haas	60	0	7.0	1.21E-01	2.41E-01	3.11E-03	5.07E-01	1.02E+00	9.17E-02	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090513G	Haas	75	0	7.0	6.38E-02	2.77E-01	1.97E-03	2.68E-01	1.16E+00	5.79E-02	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090513G	Haas	90	0	7.0	-4.25E-03	2.72E-01	8.95E-04	-1.79E-02	1.14E+00	2.63E-02	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
DoubleWing	20090513C	Haas	20	0	0.0	-3.95E-03	-4.69E-04	1.52E-05	NaN	NaN	NaN	0.00E+00	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090513C	Haas	20	0	0.2	-4.11E-03	-5.40E-04	1.82E-05	-1.26E+01	-1.65E+00	3.90E-01	1.50E+03	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090513C	Haas	20	0	0.6	-1.53E-03	1.15E-03	3.24E-05	-2.86E-01	2.14E-01	4.23E-02	6.07E+03	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090513C	Haas	20	0	1.0	4.04E-03	4.17E-03	5.48E-05	3.28E-01	3.38E-01	3.11E-02	9.20E+03	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090513C	Haas	20	0	1.9	2.82E-02	1.69E-02	1.24E-04	5.91E-01	3.55E-01	1.83E-02	1.81E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090513C	Haas	20	0	2.5	5.24E-02	3.00E-02	1.76E-04	6.19E-01	3.54E-01	1.45E-02	2.41E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090513C	Haas	20	0	3.2	8.77E-02	4.81E-02	2.72E-04	6.64E-01	3.64E-01	1.44E-02	3.01E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090513C	Haas	20	0	4.4	1.95E-01	1.02E-01	4.93E-04	7.53E-01	3.94E-01	1.33E-02	4.22E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090513C	Haas	20	0	5.7	3.40E-01	1.75E-01	7.61E-04	7.94E-01	4.09E-01	1.25E-02	5.42E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090513C	Haas	20	0	5.7	3.41E-01	1.76E-01	7.51E-04	7.91E-01	4.08E-01	1.22E-02	5.44E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090513C	Haas	20	0	6.9	5.20E-01	2.66E-01	9.98E-04	8.14E-01	4.17E-01	1.09E-02	6.62E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090513C	Haas	20	0	7.0	5.29E-01	2.71E-01	9.81E-04	8.17E-01	4.19E-01	1.06E-02	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090513C	Haas	20	0	8.2	7.32E-01	3.77E-01	1.20E-03	8.21E-01	4.22E-01	9.45E-03	7.82E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090513C	Haas	20	0	9.5	9.79E-01	5.09E-01	1.47E-03	8.25E-01	4.29E-01	8.64E-03	9.03E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090513C	Haas	20	0	10.7	1.26E+00	6.74E-01	1.76E-03	8.29E-01	4.42E-01	8.08E-03	1.02E+05	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090513C	Haas	20	0	12.0	1.54E+00	8.47E-01	2.05E-03	8.07E-01	4.45E-01	7.54E-03	1.14E+05	0.143	2.20E-02	0.2483	2.81	1.204
HalfWing	20090513H	Haas	20	0	0.0	9.87E-04	-8.43E-04	-6.13E-06	NaN	NaN	NaN	0.00E+00	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090513H	Haas	20	0	0.2	5.97E-04	1.25E-03	1.62E-05	3.32E+01	6.96E+01	6.33E+00	1.49E+03	0.142	1.21E-03	0.0761	4.79	1.204
HalfWing	20090513H	Haas	20	0	0.6	-4.51E-04	1.34E-03	4.41E-05	-1.53E+00	4.54E+00	1.05E+00	6.03E+03	0.142	1.21E-03	0.0761	4.79	1.204
HalfWing	20090513H	Haas	20	0	1.0	-5.75E-04	2.12E-03	7.40E-05	-8.49E-01	3.13E+00	7.69E-01	9.14E+03	0.142	1.21E-03	0.0761	4.79	1.204
HalfWing	20090513H	Haas	20	0	1.9	2.00E-03	5.38E-03	1.95E-04	7.61E-01	2.05E+00	5.23E-01	1.80E+04	0.142	1.21E-03	0.0761	4.79	1.204
HalfWing	20090513H	Haas	20	0	2.5	6.02E-03	9.17E-03	3.18E-04	1.29E+00	1.97E+00	4.81E-01	2.40E+04	0.142	1.21E-03	0.0761	4.79	1.204
HalfWing	20090513H	Haas	20	0	3.2	1.14E-02	1.40E-02	4.87E-04	1.57E+00	1.92E+00	4.72E-01	2.99E+04	0.142	1.21E-03	0.0761	4.79	1.204
HalfWing	20090513H	Haas	20	0	4.4	3.26E-02	2.93E-02	9.91E-04	2.29E+00	2.06E+00	4.90E-01	4.19E+04	0.142	1.21E-03	0.0761	4.79	1.204
HalfWing	20090513H	Haas	20	0	5.7	6.10E-02	4.89E-02	1.64E-03	2.59E+00	2.08E+00	4.91E-01	5.38E+04	0.142	1.21E-03	0.0761	4.79	1.204
HalfWing	20090513H	Haas	20	0	5.7	5.92E-02	4.81E-02	1.65E-03	2.49E+00	2.03E+00	4.91E-01	5.41E+04	0.142	1.21E-03	0.0761	4.79	1.204
HalfWing	20090513H	Haas	20	0	6.9	9.07E-02	7.06E-02	2.45E-03	2.58E+00	2.01E+00	4.91E-01	6.58E+04	0.142	1.21E-03	0.0761	4.79	1.204
HalfWing	20090513H	Haas	20	0	7.0	9.06E-02	7.07E-02	2.49E-03	2.54E+00	1.98E+00	4.91E-01	6.63E+04	0.142	1.21E-03	0.0761	4.79	1.204
HalfWing	20090513H	Haas	20	0	8.2	1.29E-01	9.78E-02	3.42E-03	2.64E+00	2.00E+00	4.91E-01	7.77E+04	0.142	1.21E-03	0.0761	4.79	1.204
HalfWing	20090513H	Haas	20	0	9.5	1.72E-01	1.30E-01	4.55E-03	2.63E+00	1.98E+00	4.91E-01	8.97E+04	0.142	1.21E-03	0.0761	4.79	1.204
HalfWing	20090513H	Haas	20	0	10.7	2.21E-01	1.66E-01	5.84E-03	2.63E+00	1.97E+00	4.90E-01	1.02E+05	0.142	1.21E-03	0.0761	4.79	1.204
HalfWing	20090513H	Haas	20	0	12.0	2.75E-01	2.06E-01	7.27E-03	2.63E+00	1.97E+00	4.89E-01	1.14E+05	0.142	1.21E-03	0.0761	4.79	1.204
NoWing	20090514A	Haas	20	0	0.0	-1.66E-03	-6.60E-04	-3.00E-06	NaN	NaN	NaN	0.00E+00	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090514A	Haas	20	0	0.2	-3.46E-03	-3.88E-04	5.96E-06	-1.92E+02	-2.16E+01	2.33E+00	1.58E+03	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090514A	Haas	20	0	0.6	-9.64E-03	5.68E-04	3.24E-05	-3.27E+01	1.93E+00	7.73E-01	6.39E+03	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090514A	Haas	20	0	1.0	-1.48E-02	2.18E-03	6.00E-05	-2.18E+01	3.21E+00	6.24E-01	9.68E+03	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090514A	Haas	20	0	1.9	-2.03E-02	4.91E-03	1.17E-04	-7.74E+00	1.87E+00	3.15E-01	1.90E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090514A	Haas	20	0	2.5	-2.43E-02	7.28E-03	1.68E-04	-5.22E+00	1.56E+00	2.55E-01	2.54E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090514A	Haas	20	0	3.2	-2.59E-02	1.07E-02	2.28E-04	-3.57E+00	1.47E+00	2.21E-01	3.17E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090514A	Haas	20	0	4.4	-2.32E-02	1.91E-02	3.75E-04	-1.63E+00	1.34E+00	1.85E-01	4.44E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090514A	Haas	20	0	5.7	-1.64E-02	2.99E-02	5.57E-04	-6.99E-01	1.27E+00	1.67E-01	5.70E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090514A	Haas	20	0	5.7	-1.56E-02	3.07E-02	5.61E-04	-6.56E-01	1.29E+00	1.67E-01	5.73E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090514A	Haas	20	0	6.9	-7.35E-03	4.29E-02	7.81E-04	-2.09E-01	1.22E+00	1.57E-01	6.97E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090514A	Haas	20	0	7.0	-6.93E-03	4.32E-02	7.89E-04	-1.94E-01	1.21E+00	1.56E-01	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090514A	Haas	20	0	8.2	4.66E-03	5.86E-02	1.06E-03	9.51E-02	1.19E+00	1.52E-01	8.23E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090514A	Haas	20	0	9.5	1.68E-02	7.59E-02	1.40E-03	2.57E-01	1.16E+00	1.51E-01	9.50E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090514A	Haas	20	0	10.7	3.88E-02	9.85E-02	1.78E-03	4.63E-01	1.18E+00	1.50E-01	1.08E+05	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090514A	Haas	20	0	12.0	5.68E-02	1.22E-01	2.20E-03	5.42E-01	1.16E+00	1.48E-01	1.20E+05	0.150	5.15E-03	0.028	0.15	1.204
