model	date.run	location	aoa	yaw	v	L	D	Mp	Cl	Cd	Cm	Re	svl	A	s	AR	rho
Draco	20090404A	Haas	60	0	7.0	2.00E-01	4.26E-01	5.29E-04	5.30E-01	1.13E+00	9.57E-03	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404A	Haas	75	0	7.0	8.19E-02	4.58E-01	-1.45E-03	2.17E-01	1.21E+00	-2.62E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404A	Haas	90	0	7.0	-3.90E-02	4.40E-01	-3.16E-03	-1.03E-01	1.16E+00	-5.71E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404B	Haas	-15	0	12.0	-1.95E-01	1.21E-01	-7.09E-03	-1.75E-01	1.09E-01	-4.37E-02	1.17E+05	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404B	Haas	-5	0	12.0	1.42E-01	9.24E-02	-1.45E-03	1.27E-01	8.31E-02	-8.90E-03	1.17E+05	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404B	Haas	0	0	12.0	3.50E-01	1.21E-01	2.08E-03	3.15E-01	1.08E-01	1.28E-02	1.17E+05	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404B	Haas	15	0	12.0	8.83E-01	3.91E-01	7.30E-03	7.94E-01	3.52E-01	4.50E-02	1.17E+05	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404B	Haas	30	0	12.0	4.26E-01	3.11E-01	1.85E-03	3.83E-01	2.80E-01	1.14E-02	1.17E+05	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404B	Haas	45	0	12.0	8.14E-01	9.82E-01	4.31E-03	7.32E-01	8.83E-01	2.66E-02	1.17E+05	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404B	Haas	60	0	12.0	5.96E-01	1.25E+00	1.80E-03	5.36E-01	1.12E+00	1.11E-02	1.17E+05	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404B	Haas	75	0	12.0	2.53E-01	1.34E+00	-3.95E-03	2.28E-01	1.21E+00	-2.43E-02	1.17E+05	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404B	Haas	90	0	12.0	-1.02E-01	1.30E+00	-9.35E-03	-9.19E-02	1.17E+00	-5.76E-02	1.17E+05	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404C	Haas	-5	0	3.0	7.60E-03	7.16E-03	-9.53E-05	1.09E-01	1.03E-01	-9.39E-03	2.92E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404D	Haas	20	0	0.0	-2.03E-02	-6.23E-03	6.04E-05	NaN	NaN	NaN	0.00E+00	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404D	Haas	20	0	0.2	-1.76E-02	-4.90E-03	6.86E-05	-9.24E+01	-2.57E+01	2.46E+00	1.53E+03	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404D	Haas	20	0	0.6	1.16E-03	1.66E-03	5.91E-05	3.70E-01	5.30E-01	1.29E-01	6.20E+03	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404D	Haas	20	0	1.0	-1.09E-02	-1.01E-03	1.22E-04	-1.52E+00	-1.41E-01	1.16E-01	9.40E+03	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404D	Haas	20	0	1.9	1.34E-02	9.72E-03	2.03E-04	4.82E-01	3.49E-01	4.98E-02	1.85E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404D	Haas	20	0	2.5	1.87E-02	1.55E-02	3.44E-04	3.79E-01	3.14E-01	4.76E-02	2.46E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404D	Haas	20	0	3.2	3.82E-02	2.55E-02	5.06E-04	4.95E-01	3.30E-01	4.49E-02	3.08E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404D	Haas	20	0	4.4	1.01E-01	5.97E-02	9.47E-04	6.66E-01	3.95E-01	4.29E-02	4.31E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404D	Haas	20	0	5.7	1.90E-01	1.07E-01	1.50E-03	7.61E-01	4.28E-01	4.12E-02	5.54E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404D	Haas	20	0	5.7	1.94E-01	1.09E-01	1.50E-03	7.70E-01	4.33E-01	4.08E-02	5.56E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404D	Haas	20	0	6.9	2.96E-01	1.63E-01	2.21E-03	7.94E-01	4.39E-01	4.06E-02	6.77E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404D	Haas	20	0	7.0	3.07E-01	1.69E-01	2.26E-03	8.12E-01	4.46E-01	4.08E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404D	Haas	20	0	8.2	4.29E-01	2.33E-01	3.10E-03	8.24E-01	4.49E-01	4.07E-02	8.00E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404D	Haas	20	0	9.5	5.79E-01	3.13E-01	4.04E-03	8.36E-01	4.51E-01	3.99E-02	9.23E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404D	Haas	20	0	10.7	7.54E-01	4.04E-01	5.22E-03	8.47E-01	4.54E-01	4.02E-02	1.05E+05	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404D	Haas	20	0	12.0	9.51E-01	5.05E-01	6.46E-03	8.56E-01	4.54E-01	3.98E-02	1.17E+05	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404E	Haas	-15	15	7.0	-6.65E-02	3.43E-02	-2.70E-03	-1.76E-01	9.08E-02	-4.88E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404E	Haas	-5	15	7.0	5.01E-02	2.49E-02	-1.37E-03	1.32E-01	6.60E-02	-2.49E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404E	Haas	0	15	7.0	1.15E-01	3.52E-02	-4.15E-04	3.05E-01	9.32E-02	-7.51E-03	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404E	Haas	15	15	7.0	2.80E-01	1.26E-01	2.45E-03	7.40E-01	3.33E-01	4.43E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404E	Haas	30	15	7.0	3.13E-01	2.37E-01	1.35E-03	8.27E-01	6.27E-01	2.44E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404E	Haas	45	15	7.0	2.70E-01	3.32E-01	1.01E-03	7.15E-01	8.78E-01	1.84E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404E	Haas	60	15	7.0	1.94E-01	4.15E-01	-5.97E-05	5.13E-01	1.10E+00	-1.08E-03	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404E	Haas	75	15	7.0	8.10E-02	4.54E-01	-1.49E-03	2.14E-01	1.20E+00	-2.69E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404E	Haas	90	15	7.0	-3.62E-02	4.51E-01	-2.96E-03	-9.58E-02	1.19E+00	-5.36E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404F	Haas	-5	0	7.0	-8.00E-02	-1.98E-03	-3.74E-04	-2.12E-01	-5.23E-03	-6.78E-03	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404F	Haas	30	0	7.0	3.25E-01	2.29E-01	-2.97E-03	8.60E-01	6.05E-01	-5.37E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco	20090404F	Haas	60	0	7.0	1.91E-01	4.08E-01	-2.60E-03	5.06E-01	1.08E+00	-4.70E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090404G	Haas	-30	0	7.0	-1.02E-01	9.91E-02	-4.33E-03	-2.70E-01	2.62E-01	-7.84E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090404G	Haas	-15	0	7.0	-2.17E-02	7.31E-02	-3.59E-03	-5.73E-02	1.93E-01	-6.50E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090404G	Haas	-10	0	7.0	7.56E-02	6.30E-02	-2.71E-03	2.00E-01	1.67E-01	-4.90E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090404G	Haas	-5	0	7.0	1.58E-01	6.80E-02	-1.87E-03	4.19E-01	1.80E-01	-3.39E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090404G	Haas	0	0	7.0	2.21E-01	9.11E-02	-8.33E-04	5.85E-01	2.41E-01	-1.51E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090404G	Haas	5	0	7.0	3.00E-01	1.26E-01	3.42E-04	7.94E-01	3.32E-01	6.18E-03	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090404G	Haas	10	0	7.0	3.69E-01	1.77E-01	1.21E-03	9.77E-01	4.68E-01	2.19E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090404G	Haas	15	0	7.0	3.98E-01	2.26E-01	1.43E-03	1.05E+00	5.98E-01	2.59E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090404G	Haas	20	0	7.0	3.60E-01	2.48E-01	3.79E-04	9.52E-01	6.56E-01	6.85E-03	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090404G	Haas	25	0	7.0	3.40E-01	2.81E-01	2.41E-04	8.99E-01	7.42E-01	4.36E-03	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090404G	Haas	30	0	7.0	3.20E-01	3.12E-01	2.94E-04	8.46E-01	8.25E-01	5.33E-03	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090404G	Haas	35	0	7.0	3.02E-01	3.44E-01	3.26E-04	7.98E-01	9.09E-01	5.90E-03	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090404G	Haas	40	0	7.0	2.87E-01	3.83E-01	3.19E-04	7.59E-01	1.01E+00	5.77E-03	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090404G	Haas	45	0	7.0	2.57E-01	4.06E-01	3.89E-04	6.78E-01	1.07E+00	7.03E-03	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090404G	Haas	50	0	7.0	2.34E-01	4.33E-01	3.97E-04	6.19E-01	1.15E+00	7.19E-03	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090404G	Haas	55	0	7.0	1.93E-01	4.43E-01	4.54E-04	5.11E-01	1.17E+00	8.22E-03	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090404G	Haas	60	0	7.0	1.61E-01	4.61E-01	3.97E-04	4.26E-01	1.22E+00	7.19E-03	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
